index-from-to-page
001-a-aṅgur-310
002-aṅgul-atith-310
003-atid-atrabhavan-311
004-atrabhavat-adhir-311
005-adhiṣ-anād-312
006-anāy-anub-312
007-anubh-anus-313
008-ane-anvit-313
009-anviṣ-aparādha-314
010-apāradhi-apūp-314
011-apūr-abjib-315
012-abhim-abhīś-315
013-abhū-arthaḥ-316
014-artham-avak-316
015-avag-avaloka-317
016-avaloki-av-317
017-aś-asm-318
018-asv-āk-318
019-ākh-āty-319
020-ātr-āpad-319
021-āpan-āru-320
022-ārt-āv-320
023-āś-āsak-321
024-āsad-ita-321
025-iti-īh-322
026-uk-utpat-322
027-utpatt-udd-323
028-uddh-upak-323
029-upag-upara-324
030-uparā-upas-324
031-upah-uṣ-325
032-ū-eṣ-325
033-eh-kaṭ-326
034-kaṇ-karṇ-326
035-kart-kāmaḥ-327
036-kāmam-kiṃc-327
037-kiṃt-kut-328
038-ku-kṛ-328
039-kṛc-ket-329
040-keś-kṣ-329
041-ks-gaṅ-330
042-gaj-gir-330
043-giri-ga-331
044-gr-candraḥ-331
045-candrak-cira-332
046-ciram-jaḥ-332
047-jaṭ-jāp-333
048-jām-jyoti-333
049-jyots-tadā-334
050-taddh-tal-334
051-tav-tīra-335
052-tīrth-tryam-335
053-tryah-dam-336
054-day-dā-336
055-di-duś-337
056-duḥ-devap-337
057-devar-dhana-338
058-dhanu-dhv-338
059-na-nā-339
060-nik-niruṇ-339
061-nirut-nivṛ-340
062-nivṛt-nī-340
063-nu-pañca-341
064-pañcam-pay-341
065-par-parik-342
066-parig-parin-342
067-parip-paris-343
068-parih-pā-343
069-pāk-piṇdaḥ-344
070-piṇdap-puraṃ-344
071-puraḥ-pṛtha-345
072-pṛthi-pracchād-345
073-pracchāy-pratid-346
074-pratin-pratiṣi-346
075-pratiṣe-prat-347
076-prath-prama-347
077-pramā-pravṛtta-348
078-pravṛtti-prasthā-348
079-prasthān-prārth-349
080-prārtha-prau-349
081-ph-ba-350
082-bā-bhaga-350
083-bhagn-bhav-351
084-bhā-bhūt-351
085-bhūm-maṅ-352
086-maṇ-man-352
087-mana-mahān-353
088-mahām-mān-353
089-mām-mun-354
090-muh-mai-354
091-mo-yad-355
092-yam-yu-355
093-yo-rāk-356
094-rāg-rū-356
095-re-lā-357
096-li-vata-357
097-vats-varg-358
098-varṇ-vāc-358
099-vāt-vig-359
100-vigh-vid-359
101-vida-vin-360
102-vip-virac-360
103-virah-viśo-361
104-viśr-visṛ-361
105-vist-vṛta-362
106-vṛtta-veśman-362
107-veṣ-vyañ-363
108-vyāt-vyāp-363
109-vyāv-śan-364
110-śab-śir-364
111-śil-śai-365
112-śo-śrotra-365
113-śrotri-saṃva-366
114-saṃvi-saṃkalpa-366
115-saṃku-saṃja-367
116-saṃjñ-saṃdhā-367
117-samdhy-samādh-368
118-samān-saṃpradh-368
119-saṃprah-saṃma-369
120-saṃmū-sahadh-369
121-sahabh-sāy-370
122-sār-supta-370
123-subh-sod-371
124-som-sthā-371
125-sthi-sva-372
126-svac-hanta-372
127-hay-ho-373
